year,temp_sp0,temp_sp1
1974,17.049144405058062,9.670314810741907
1975,17.049144405058062,9.670314810741907
1976,17.049144405058062,9.670314810741907
1977,17.049144405058062,9.670314810741907
1978,17.049144405058062,9.670314810741907
1979,17.049144405058062,9.670314810741907
1980,17.049144405058062,9.670314810741907
1981,17.049144405058062,9.670314810741907
1982,17.049144405058062,9.670314810741907
1983,17.049144405058062,9.670314810741907
1984,17.049144405058062,9.670314810741907
1985,17.049144405058062,9.670314810741907
1986,17.049144405058062,9.670314810741907
1987,17.049144405058062,9.670314810741907
1988,17.049144405058062,9.670314810741907
1989,17.049144405058062,9.670314810741907
1990,17.049144405058062,9.670314810741907
1991,17.049144405058062,9.670314810741907
1992,17.049144405058062,9.670314810741907
1993,14.721927960713705,7.974727471669515
1994,17.930848757425945,8.923396905263266
1995,17.520275751749676,8.798478603363037
1996,15.326224644978842,9.058990478515625
1997,18.26947021484375,9.239980061848959
1998,15.13132095336914,8.07721741994222
1999,17.532025655110676,9.374541441599527
2000,15.605987866719564,10.21780808766683
2001,16.918501218159992,9.339484055836996
2002,17.84988021850586,9.32393471399943
2003,17.551512082417805,9.78226931889852
2004,16.367236455281574,9.51215394337972
2005,16.782229741414387,10.11163298288981
2006,18.75425656636556,10.733672777811686
2007,16.004242579142254,9.716771602630615
2008,16.748134930928547,9.948744614919027
2009,17.327783902486164,9.591353257497152
2010,17.313143730163574,8.316542466481527
2011,16.19480578104655,9.296515782674154
2012,16.46606222788493,9.35736354192098
2013,17.329403559366863,9.841750462849935
2014,17.942352294921875,11.306484699249268
2015,16.506635665893555,10.55601437886556
2016,17.682493845621746,9.71375815073649
2017,16.42216968536377,9.823823928833008
2018,18.717789967854817,9.943832874298096
2019,17.787128766377766,10.685493151346842
2020,17.747857411702473,11.240424156188965
2021,17.973485310872395,10.631968180338541
